2007-01-11 15:55:35:68,19.327,-65.922,16.2,3.1
2007-01-11 16:06:18:61,18.866,-64.875,24.3,3
2007-01-11 16:39:27:74,18.836,-66.387,45.6,3
2007-01-11 18:23:36:08,18.884,-66.576,100.1,3.2
2007-01-11 18:24:45:04,19.233,-65.225,4.8,3.3
2007-01-11 18:42:13:48,18.976,-65.365,15.9,2.9
2007-01-11 18:56:06:72,19.242,-65.137,63.5,3.2
2007-01-11 19:33:39:56,18.991,-65.372,11,3.1
2007-01-11 20:28:34:03,18.843,-64.236,37.5,2.8
2007-01-11 20:29:48:40,19.187,-65.094,75.1,3.2
2007-01-11 21:53:15:86,19.314,-65.152,5.6,3.1
2007-01-11 22:04:02:47,19.631,-65.418,30.3,3.5
2007-01-12 00:02:06:41,19.84,-68.543,80.5,3.5
2007-01-12 02:50:25:90,19.413,-65.144,55.8,3.2
2007-01-12 03:36:34:22,18.83,-65.544,44.8,2.7
2007-01-12 10:05:15:78,18.239,-66.055,2.6,1.2
2007-01-12 18:19:45:28,18.576,-66.85,3.2,1.6
2007-01-12 19:52:26:64,19.393,-65.171,73.6,3
2007-01-12 22:09:43:45,19.259,-65.151,0.6,3.3
2007-01-13 00:08:07:79,18.788,-64.44,31.7,2.9
2007-01-13 01:24:16:64,18.589,-64.649,68.8,3.4
2007-01-13 09:52:18:01,18.982,-64.617,33,2.8
2007-01-13 12:18:49:37,18.146,-65.786,25.8,1.6
2007-01-13 13:32:28:50,19.311,-65.124,71.4,3.3
2007-01-13 14:49:31:69,17.897,-65.683,9.8,2.9
2007-01-13 16:18:18:03,18.087,-65.578,17,2.1
2007-01-13 17:33:07:05,19.36,-65.363,15.1,2.8
2007-01-13 17:34:46:02,19.209,-65.302,42.5,2.9
2007-01-13 17:56:48:51,19.116,-65.346,38.8,3.1
2007-01-13 19:01:26:36,18.937,-65.291,78.7,3.1
2007-01-13 19:26:42:99,19.494,-65.383,67.8,3.4
2007-01-13 23:05:40:39,17.877,-65.679,19.3,2.5
2007-01-14 16:17:42:66,18.114,-65.88,7.6,2.2
2007-01-15 02:53:39:99,19.307,-65.091,6.8,3.8
2007-01-15 03:29:58:76,19.535,-64.7,68.1,3.3
2007-01-15 05:00:33:78,19.288,-64.997,69.7,3.2
2007-01-15 06:36:49:19,19.073,-65.007,96.2,3
2007-01-15 10:07:52:40,19.467,-65.242,25.2,3
2007-01-15 20:36:00:89,18.866,-64.995,22.3,3.2
2007-01-15 21:18:08:41,18.534,-65.502,94.1,2.7
2007-01-16 05:46:09:84,19.127,-68.172,35.8,3.1
2007-01-16 12:43:55:53,19.3,-64.739,54.4,3.5
2007-01-16 14:12:14:45,17.698,-63.87,135.3,3.3
2007-01-16 16:23:22:45,17.764,-66.693,20.5,1.5
2007-01-16 20:06:21:35,17.985,-66.527,15.1,1.6
2007-01-16 21:34:27:86,18.865,-68.589,174.8,4.2
2007-01-17 00:08:25:66,19.445,-66.115,28.1,3.5
2007-01-17 01:26:46:47,18.236,-67.381,127,3.5
2007-01-17 03:39:29:75,18.641,-67.434,0.8,2.9
2007-01-17 11:48:59:41,18.586,-67.557,5,2.8
2007-01-17 21:00:23:30,17.834,-68.439,94.8,3.3
2007-01-19 01:02:18:12,18.071,-65.52,17.5,2.6
2007-01-19 03:11:48:78,18.417,-64.91,91.8,3.3
2007-01-19 13:12:38:09,18.451,-65.722,125,3.4
2007-01-19 19:18:47:38,19.497,-68.098,73,3.3
2007-01-19 20:43:15:39,17.775,-66.909,13,1.9
2007-01-19 23:22:06:99,19.096,-64.821,64.3,3.5
2007-01-19 23:24:56:57,18.933,-64.776,84.8,3.2
2007-01-20 00:14:52:59,18.136,-66.868,28.6,2.1
2007-01-20 03:29:47:92,17.979,-67,12.9,2.1
2007-01-20 11:23:20:70,19.264,-64.844,19,3.4
2007-01-20 12:07:15:01,19.649,-64.668,5,3.7
2007-01-20 12:39:25:67,19.108,-64.948,5.6,2.2
2007-01-20 13:55:36:81,19.351,-64.787,54.5,3.1
2007-01-20 14:22:39:92,19.305,-64.859,25.3,0
2007-01-20 14:23:19:15,19.044,-64.747,89.4,3.4
2007-01-20 14:24:59:19,18.529,-64.872,89.1,0
2007-01-20 14:25:34:62,19.04,-64.803,76.9,3.1
2007-01-20 14:35:47:62,19.287,-64.853,24.1,2.8
2007-01-20 14:46:46:95,19.221,-64.779,24,3.3
2007-01-20 14:48:02:23,19.289,-64.886,20,3
2007-01-20 14:50:32:09,19.065,-64.863,10.3,2.3
2007-01-20 14:51:14:05,19.259,-64.84,45.7,3
2007-01-20 15:57:22:42,19.145,-64.856,1.5,3.5
2007-01-20 18:00:48:42,19.097,-64.76,74.9,3.1
2007-01-20 19:31:25:51,19.1,-64.814,77.1,3.3
2007-01-20 19:36:52:96,19.26,-64.834,24.7,3
2007-01-20 19:38:37:87,19.144,-64.88,52.3,3.6
2007-01-21 04:10:10:53,19.173,-64.891,22,3.4
2007-01-21 05:48:10:78,18.539,-68.719,15,3.8
2007-01-21 07:24:22:90,18.161,-64.009,131.7,3.8
2007-01-21 09:24:48:49,19.085,-64.914,6.3,3.3
2007-01-21 15:42:39:36,19.023,-64.789,80.7,3.2
2007-01-21 15:44:12:04,19.04,-65.778,5.9,2.8
2007-01-21 20:32:12:76,19.197,-64.863,59.7,3.5
2007-01-21 20:43:08:66,19.435,-64.98,6.7,3.1
2007-01-21 20:44:22:27,19.538,-64.932,8.5,2.7
2007-01-21 23:26:30:36,19.377,-64.818,47.5,3.4
2007-01-22 00:28:29:93,18.347,-64.663,112.1,3.4
2007-01-22 10:39:56:33,18.557,-65.028,22.9,3.7
2007-01-22 15:31:39:82,18.387,-64.981,31,3
2007-01-22 16:41:06:48,18.594,-65.036,18.5,2.8
2007-01-22 16:41:06:82,18.552,-65.036,22.3,2.9
2007-01-23 07:29:30:59,19.317,-68.697,35.3,3.3
2007-01-23 10:37:31:98,18.99,-65.294,59.9,3.2
2007-01-23 11:25:22:23,18.84,-65.009,124.2,3.3
2007-01-23 11:32:34:97,18.842,-67.705,83.6,3
2007-01-23 15:16:31:57,18.565,-65.028,20,2.5
2007-01-23 15:18:03:73,18.436,-64.994,31.1,3.1
2007-01-23 15:20:10:13,18.489,-65.007,32,2.4
2007-01-23 23:17:04:52,18.516,-65.025,29.9,2.7
2007-01-24 01:13:04:25,18.361,-66.303,120.8,2.9
2007-01-24 10:18:58:31,18.753,-65.296,10,2.5
2007-01-24 10:20:19:30,19.079,-65.394,52.1,3.1
2007-01-24 10:21:39:66,19.21,-65.325,20.5,2.4
2007-01-24 10:22:44:51,18.762,-64.511,14.3,2.3
2007-01-24 10:43:33:21,19.099,-66.107,14.2,3.1
2007-01-24 13:28:53:97,18.481,-67.373,5,2.8
2007-01-24 16:22:33:17,19.132,-66.096,25.8,3
2007-01-24 22:00:58:53,18.381,-66.144,134.4,3
2007-01-24 22:18:50:88,19.36,-65.345,98.5,3.4
2007-01-25 04:10:55:00,18.56,-66.755,80.7,3
2007-01-25 05:26:46:77,18.097,-68.502,110.7,3.6
2007-01-25 08:17:38:45,18.135,-66.762,23.8,2
2007-01-25 15:06:37:31,18.088,-66.934,21.9,2.5
2007-01-25 20:25:36:99,19.056,-67.09,22.7,2.9
2007-01-26 12:30:57:62,18.013,-66.11,5.4,2.1
2007-01-26 17:12:44:45,19.245,-65.358,46.1,3
2007-01-26 19:10:28:27,17.883,-65.674,15,1.9
2007-01-27 00:44:15:07,18.857,-65.537,23,2.9
2007-01-27 00:45:15:29,18.909,-65.551,26.5,2.5
2007-01-27 00:47:03:03,18.82,-65.511,15.7,3.5
2007-01-27 00:48:54:31,18.916,-65.52,21.6,2.8
2007-01-27 00:50:28:07,18.92,-65.493,20.2,2.5
2007-01-27 00:51:03:57,18.706,-65.496,67.7,2.8
2007-01-27 01:04:06:48,18.845,-65.426,20,2.3
2007-01-27 01:06:53:35,19.223,-64.871,6.9,2.8
2007-01-27 01:08:41:75,18.878,-65.488,23.1,2.7
2007-01-27 01:09:38:88,18.861,-65.555,13.1,2.6
2007-01-27 01:10:32:37,18.855,-65.506,12.4,2.5
2007-01-27 01:13:32:92,18.855,-65.525,15.4,2.1
2007-01-27 01:14:44:94,18.885,-65.488,27.7,2.8
2007-01-27 01:16:50:65,18.889,-64.307,24.8,3
2007-01-27 01:18:12:42,18.892,-65.523,44.9,2.7
2007-01-27 01:19:41:89,18.88,-65.492,22,2.9
2007-01-27 01:26:43:46,17.84,-66.132,5,2.5
2007-01-27 05:53:33:49,19.25,-64.871,29.4,3.1
2007-01-27 16:30:00:75,17.859,-66.841,13.7,2.1
2007-01-27 16:37:26:34,18.094,-66.817,5.9,1.7
2007-01-28 01:34:22:67,19.656,-65.484,8.1,3.6
2007-01-28 05:02:12:78,18.142,-67.883,110.8,3.5
2007-01-28 14:32:12:32,17.278,-65.424,25.4,2.6
2007-01-28 18:08:35:51,18.187,-67.485,10,2.7
2007-01-28 23:20:19:22,17.987,-67.022,13.9,1.9
2007-01-29 14:33:19:76,18.571,-66.459,86.6,2.8
2007-01-29 16:26:49:78,18.739,-64.654,6,3
2007-01-29 17:22:21:22,17.884,-68.177,100.8,3
2007-01-29 20:20:58:25,17.47,-65.734,25,2.6
2007-01-29 20:52:19:38,18.581,-64.376,16.6,2.2
2007-01-29 22:46:59:75,18.889,-64.341,25,2.9
2007-01-30 07:15:46:77,18.071,-65.699,8.2,2.5
2007-01-30 09:35:03:49,19.201,-65.3,4.4,2.9
